,Movie_Name,Release_Year,Time_mnts,Movie_type,Ratings,Metascore,Votes,Gross_$
487,The ArtistI) ,2011,100,"Comedy, Drama, Romance            ",7.9,89,241078,44670000
488,Edge of Tomorrow,2014,113,"Action, Adventure, Sci-Fi            ",7.9,71,669982,100210000
489,Amour,2012,127,Drama            ,7.9,94,100370,6740000
490,Darbareye Elly,2009,119,"Drama, Mystery            ",7.9,87,53566,110000
492,My Name Is Khan,2010,165,"Adventure, Drama, Romance            ",7.9,50,106920,4019999
494,Låt den rätte komma in,2008,114,"Drama, Fantasy, Horror            ",7.9,82,216360,2120000
495,District ,2009,112,"Action, Sci-Fi, Thriller            ",7.9,81,677651,115650000
496,The Wrestler,2008,109,"Drama, Sport            ",7.9,80,305253,26240000
498,BoyhoodI) ,2014,165,Drama            ,7.9,100,353614,25380000
499," luni, ",2007,113,Drama            ,7.9,97,60391,1190000
500,Star Trek,2009,127,"Action, Adventure, Sci-Fi            ",7.9,82,602063,257730000
501,Dallas Buyers Club,2013,117,"Biography, Drama            ",7.9,79,484788,27300000
502,In Bruges,2008,107,"Comedy, Crime, Drama            ",7.9,67,420832,7760000
504,Letters from Iwo Jima,2006,141,"Action, Adventure, Drama            ",7.9,89,162723,13760000
505,Life of Pi,2012,127,"Adventure, Drama, Fantasy            ",7.9,79,625213,124990000
506,Fantastic Mr. Fox,2009,87,"Animation, Adventure, Comedy            ",7.9,83,229682,21000000
507,Bin-jip,2004,88,"Crime, Drama, Romance            ",7.9,72,55228,240000
509,Vozvrashchenie,2003,110,Drama            ,7.9,82,45575,500000
510,Iron Man,2008,126,"Action, Adventure, Sci-Fi            ",7.9,79,1046240,318410000
511,Shaun of the Dead,2004,99,"Comedy, Horror            ",7.9,76,554088,13540000
512,Kal Ho Naa Ho,2003,186,"Comedy, Drama, Musical            ",7.9,54,69206,1790000
514,Mystic River,2003,138,"Crime, Drama, Mystery            ",7.9,84,454246,90140000
515,Harry Potter and the Prisoner of Azkaban,2004,142,"Adventure, Family, Fantasy            ",7.9,82,625496,249360000
516,Ying xiong,2002,120,"Action, Adventure, Drama            ",7.9,85,181313,53710000
517,Hable con ella,2002,112,"Drama, Mystery, Romance            ",7.9,86,112420,9280000
518,No Man's LandI) ,2001,98,"Comedy, Drama, War            ",7.9,84,47213,1060000
519,The Bourne Identity,2002,119,"Action, Mystery, Thriller            ",7.9,68,544316,121660000
520,Nueve reinas,2000,114,"Crime, Drama, Thriller            ",7.9,80,53047,1220000
521,Children of Men,2006,109,"Action, Drama, Sci-Fi            ",7.9,84,497600,35550000
522,Wo hu cang long,2000,120,"Action, Adventure, Drama            ",7.9,94,268663,128080000
523,Almost Famous,2000,122,"Adventure, Comedy, Drama            ",7.9,90,275321,32530000
524,Dancer in the Dark,2000,140,"Crime, Drama, Musical            ",7.9,61,109850,4179999
525,Mulholland Dr.,2001,147,"Drama, Mystery, Thriller            ",7.9,85,352819,7220000
526,Shrek,2001,90,"Animation, Adventure, Comedy            ",7.9,84,669691,267670000
527,Toy Story ,1999,92,"Animation, Adventure, Comedy            ",7.9,88,576100,245850000
528,Titanic,1997,194,"Drama, Romance            ",7.9,75,1157041,659330000
530,Boogie Nights,1997,155,Drama            ,7.9,85,264126,26400000
532,Kôkaku Kidôtai,1995,83,"Animation, Action, Crime            ",7.9,76,142401,520000
533,Once Were Warriors,1994,102,"Crime, Drama            ",7.9,77,34397,2200000
534,True Romance,1993,119,"Crime, Drama, Romance            ",7.9,59,226115,12280000
535,Trois couleurs: Bleu,1993,94,"Drama, Music, Mystery            ",7.9,85,101785,1320000
536,The Nightmare Before Christmas,1993,76,"Animation, Family, Fantasy            ",7.9,82,331379,75080000
537,Carlito's Way,1993,144,"Crime, Drama, Thriller            ",7.9,65,217492,36950000
538,Bound by Honor,1993,180,"Crime, Drama            ",7.9,47,31454,4500000
539,Edward Scissorhands,1990,105,"Drama, Fantasy, Romance            ",7.9,74,485804,56360000
540,My Left Foot: The Story of Christy Brown,1989,103,"Biography, Drama            ",7.9,97,74405,14740000
541,Do the Right Thing,1989,120,"Comedy, Drama            ",7.9,93,101987,27550000
542,The Untouchables,1987,119,"Crime, Drama, Thriller            ",7.9,79,308156,76270000
544,Hannah and Her Sisters,1986,107,"Comedy, Drama            ",7.9,90,71637,40080000
545,Brazil,1985,132,"Drama, Sci-Fi            ",7.9,84,200406,9930000
546,This Is Spinal Tap,1984,82,"Comedy, Music            ",7.9,92,139628,4740000
547,A Christmas Story,1983,93,"Comedy, Family            ",7.9,77,147395,20610000
548,E.T. the Extra-Terrestrial,1982,115,"Adventure, Family, Sci-Fi            ",7.9,91,405820,435110000
550,The Blues Brothers,1980,133,"Action, Adventure, Comedy            ",7.9,60,198700,57230000
551,Manhattan,1979,96,"Comedy, Drama, Romance            ",7.9,83,140159,45700000
552,All the President's Men,1976,138,"Drama, History, Thriller            ",7.9,84,115438,70600000
555,Patton,1970,172,"Biography, Drama, War            ",7.9,91,102123,61700000
556,Il conformista,1970,113,Drama            ,7.9,100,30578,540000
557,Le cercle rouge,1970,140,"Crime, Drama, Thriller            ",7.9,91,25537,370000
558,The Wild Bunch,1969,145,"Action, Adventure, Western            ",7.9,97,84667,12060000
560,In the Heat of the Night,1967,110,"Drama, Mystery, Thriller            ",7.9,75,76435,24380000
562,Doctor Zhivago,1965,197,"Drama, Romance, War            ",7.9,69,76615,111720000
563,Per un pugno di dollari,1964,99,"Action, Drama, Western            ",7.9,65,216607,14500000
564,Charade,1963,113,"Comedy, Mystery, Romance            ",7.9,83,77473,13470000
567,Spartacus,1960,197,"Adventure, Biography, Drama            ",7.9,87,134779,30000000
569,Cat on a Hot Tin Roof,1958,108,Drama            ,7.9,84,49615,17570000
570,Ascenseur pour l'échafaud,1958,91,"Crime, Drama, Thriller            ",7.9,94,25722,110000
574,A Streetcar Named Desire,1951,122,Drama            ,7.9,97,108152,8000000
575,Strangers on a Train,1951,101,"Crime, Drama, Film-Noir            ",7.9,88,133760,7630000
579,Miracle on ,1947,96,"Comedy, Drama, Family            ",7.9,88,47720,2650000
580,Notorious,1946,102,"Drama, Film-Noir, Romance            ",7.9,100,101132,10460000
581,The Big Sleep,1946,114,"Crime, Film-Noir, Mystery            ",7.9,86,85792,6540000
582,La belle et la bête,1946,96,"Drama, Fantasy, Romance            ",7.9,92,26515,300000
590,The Adventures of Robin Hood,1938,102,"Action, Adventure, Romance            ",7.9,97,51113,3980000
592,King Kong,1933,100,"Adventure, Horror, Sci-Fi            ",7.9,90,85466,10000000
594,The Gentlemen,2019,113,"Action, Comedy, Crime            ",7.8,51,330306,36470000
596,Call Me by Your Name,2017,132,"Drama, Romance            ",7.8,93,266917,18100000
597,"I, Daniel Blake",2016,100,Drama            ,7.8,78,60043,260000
598,Isle of Dogs,2018,101,"Animation, Adventure, Comedy            ",7.8,82,167121,32020000
599,Dunkirk,2017,106,"Action, Drama, History            ",7.8,94,647208,188370000
600,Hidden Figures,2016,127,"Biography, Drama, History            ",7.8,74,227478,169610000
601,Hunt for the Wilderpeople,2016,101,"Adventure, Comedy, Drama            ",7.8,81,130138,5200000
602,Paddington ,2017,103,"Adventure, Comedy, Family            ",7.8,88,77363,40440000
603,Manchester by the Sea,2016,137,Drama            ,7.8,96,279228,47700000
604,Under sandet,2015,100,"Drama, History, War            ",7.8,75,41243,440000
605,Rogue One,2016,133,"Action, Adventure, Sci-Fi            ",7.8,65,622134,532179999
606,Captain Fantastic,2016,118,"Comedy, Drama            ",7.8,72,217733,5880000
607,Captain America: Civil War,2016,147,"Action, Adventure, Sci-Fi            ",7.8,75,774917,408080000
608,The Hateful Eight,2015,168,"Crime, Drama, Mystery            ",7.8,68,590879,54120000
609,Little Women,2019,135,"Drama, Romance            ",7.8,91,199389,108100000
610,Loving Vincent,2017,94,"Animation, Biography, Crime            ",7.8,62,57887,6740000
612,Nightcrawler,2014,117,"Crime, Drama, Thriller            ",7.8,76,538040,32380000
613,Star Wars: Episode VII - The Force Awakens,2015,138,"Action, Adventure, Sci-Fi            ",7.8,80,922440,936660000
614,The Lunchbox,2013,104,"Drama, Romance            ",7.8,76,56225,4230000
616,Big Hero ,2014,102,"Animation, Action, Adventure            ",7.8,74,457445,222530000
617,About TimeI) ,2013,123,"Comedy, Drama, Fantasy            ",7.8,55,345474,15320000
619,La migliore offerta,2013,131,"Crime, Drama, Mystery            ",7.8,49,118949,90000
620,Captain America: The Winter Soldier,2014,136,"Action, Adventure, Sci-Fi            ",7.8,70,834786,259769999
621,Bir Zamanlar Anadolu'da,2011,157,"Crime, Drama            ",7.8,82,46414,140000
622,Moonrise Kingdom,2012,94,"Comedy, Drama, Romance            ",7.8,84,348118,45510000
623,How to Train Your Dragon ,2014,102,"Animation, Action, Adventure            ",7.8,77,333386,177000000
624,The Big Short,2015,130,"Biography, Comedy, Drama            ",7.8,81,425872,70260000
625,Ang-ma-reul bo-at-da,2010,144,"Action, Crime, Drama            ",7.8,67,129363,130000
626,The Girl with the Dragon Tattoo,2011,158,"Crime, Drama, Mystery            ",7.8,71,460734,102520000
627,Captain Phillips,2013,134,"Action, Biography, Crime            ",7.8,82,457155,107100000
628,Straight Outta Compton,2015,147,"Biography, Drama, History            ",7.8,72,201058,161200000
629,The Irishman,2019,209,"Biography, Crime, Drama            ",7.8,94,381664,7000000
630,The Social Network,2010,120,"Biography, Drama            ",7.8,95,695126,96960000
631,Un prophète,2009,155,"Crime, Drama            ",7.8,90,98560,2080000
633,Madeo,2009,129,"Crime, Drama, Mystery            ",7.8,79,63943,550000
635,Moon,2009,97,"Drama, Mystery, Sci-Fi            ",7.8,67,357750,5010000
636,The Hobbit: The Desolation of Smaug,2013,161,"Adventure, Fantasy            ",7.8,66,654929,258370000
637,Das weiße Band - Eine deutsche Kindergeschichte,2009,144,"Drama, Mystery, Thriller            ",7.8,82,73653,2220000
638,Män som hatar kvinnor,2009,152,"Crime, Drama, Mystery            ",7.8,76,216735,10100000
639,Skyfall,2012,143,"Action, Adventure, Thriller            ",7.8,81,692651,304360000
641,The FighterI) ,2010,116,"Action, Biography, Drama            ",7.8,79,365829,93620000
642,TakenI) ,2008,90,"Action, Crime, Thriller            ",7.8,51,600049,145000000
643,OnceI) ,2007,86,"Drama, Music, Romance            ",7.8,88,116630,9440000
644,The Hobbit: An Unexpected Journey,2012,169,"Adventure, Fantasy            ",7.8,58,817150,303000000
645,Changeling,2008,141,"Biography, Crime, Drama            ",7.8,63,255122,35740000
646,Atonement,2007,123,"Drama, Mystery, Romance            ",7.8,85,276788,50930000
647,DriveI) ,2011,100,"Action, Drama            ",7.8,78,631659,35060000
648,American Gangster,2007,157,"Biography, Crime, Drama            ",7.8,76,424561,130160000
649,Avatar,2009,162,"Action, Adventure, Fantasy            ",7.8,83,1220713,760510000
650,Mr. Nobody,2009,141,"Drama, Fantasy, Romance            ",7.8,63,232549,0
651,Apocalypto,2006,139,"Action, Adventure, Drama            ",7.8,68,311886,50870000
652,The FallI) ,2006,117,"Adventure, Drama, Fantasy            ",7.8,64,112353,2280000
653,Little Miss Sunshine,2006,101,"Comedy, Drama            ",7.8,80,477913,59890000
654,Hot Fuzz,2007,121,"Action, Comedy, Mystery            ",7.8,81,502543,23640000
655,The Curious Case of Benjamin Button,2008,166,"Drama, Fantasy, Romance            ",7.8,70,645069,127510000
656,Veer-Zaara,2004,192,"Drama, Family, Musical            ",7.8,67,53089,2920000
657,Pride & Prejudice,2005,129,"Drama, Romance            ",7.8,82,293731,38410000
658,The World's Fastest Indian,2005,127,"Biography, Drama, Sport            ",7.8,68,55119,5130000
659,Tôkyô goddofâzâzu,2003,90,"Animation, Adventure, Comedy            ",7.8,73,40122,130000
660,Serenity,2005,119,"Action, Adventure, Sci-Fi            ",7.8,74,295760,25510000
661,CrashI) ,2004,112,"Crime, Drama, Thriller            ",7.8,66,435814,54580000
662,Les choristes,2004,97,"Comedy, Drama, Music            ",7.8,56,62225,3640000
663,Walk the Line,2005,136,"Biography, Drama, Music            ",7.8,72,250551,119520000
664,The Notebook,2004,123,"Drama, Romance            ",7.8,53,567607,81000000
665,The Last Samurai,2003,154,"Action, Drama            ",7.8,55,438190,111110000
666,Diarios de motocicleta,2004,126,"Adventure, Biography, Drama            ",7.8,75,101341,16760000
667,Lilja ,2002,109,"Crime, Drama            ",7.8,82,45807,180000
668,Sennen joyû,2001,87,"Animation, Drama, Fantasy            ",7.8,70,28095,190000
669,Cowboy Bebop: Tengoku no tobira,2001,115,"Animation, Action, Crime            ",7.8,61,48790,1000000
671,Remember the Titans,2000,113,"Biography, Drama, Sport            ",7.8,48,214817,115650000
672,Todo sobre mi madre,1999,101,Drama            ,7.8,87,96792,8260000
673,Cast Away,2000,143,"Adventure, Drama, Romance            ",7.8,73,586191,233630000
674,The Insider,1999,157,"Biography, Drama, Thriller            ",7.8,84,171149,28970000
675,October Sky,1999,108,"Biography, Drama, Family            ",7.8,71,90881,32479999
676,Being John Malkovich,1999,113,"Comedy, Drama, Fantasy            ",7.8,90,334150,22860000
677,Gattaca,1997,106,"Drama, Sci-Fi, Thriller            ",7.8,64,302977,12340000
679,Breaking the Waves,1996,159,Drama            ,7.8,76,67111,4040000
680,Ed Wood,1994,127,"Biography, Comedy, Drama            ",7.8,70,176121,5890000
681,Tombstone,1993,130,"Biography, Drama, History            ",7.8,50,148434,56510000
682,The Sandlot,1993,101,"Comedy, Drama, Family            ",7.8,55,91969,32420000
683,The Remains of the Day,1993,134,"Drama, Romance            ",7.8,86,74290,22950000
685,The Fugitive,1993,130,"Action, Crime, Drama            ",7.8,87,293637,183880000
686,A Bronx Tale,1993,121,"Crime, Drama            ",7.8,80,141526,17270000
687,Batman: Mask of the Phantasm,1993,76,"Animation, Action, Adventure            ",7.8,65,50982,5620000
688,Boyz n the Hood,1991,112,"Crime, Drama            ",7.8,76,140217,57500000
689,Misery,1990,107,"Drama, Thriller            ",7.8,75,209185,61280000
690,Awakenings,1990,121,"Biography, Drama            ",7.8,74,140696,52100000
692,Glory,1989,122,"Biography, Drama, History            ",7.8,78,134836,26830000
694,Crimes and Misdemeanors,1989,104,"Comedy, Drama            ",7.8,77,58097,18250000
695,Back to the Future Part II,1989,108,"Adventure, Comedy, Sci-Fi            ",7.8,57,526960,118500000
696,Mississippi Burning,1988,128,"Crime, Drama, History            ",7.8,65,100717,34600000
697,Predator,1987,107,"Action, Adventure, Horror            ",7.8,46,419316,59740000
698,Ferris Bueller's Day Off,1986,103,Comedy            ,7.8,61,355415,70140000
699,The Breakfast Club,1985,97,"Comedy, Drama            ",7.8,66,394683,45880000
