,Movie_Name,Release_Year,Time_mnts,Movie_type,Ratings,Metascore,Votes,Gross_$
90,Witness for the Prosecution,1957,116,"Crime, Drama, Mystery            ",8.4,76,124580,8180000
100,Jagten,2012,115,Drama            ,8.3,77,326068,690000
101,Jodaeiye Nader az Simin,2011,123,Drama            ,8.3,95,244191,7100000
102,Incendies,2010,131,"Drama, Mystery            ",8.3,80,175918,6860000
103,Spider-Man: No Way Home,2021,148,"Action, Adventure, Fantasy            ",8.3,71,721190,804750000
104,Up,2009,96,"Animation, Adventure, Comedy            ",8.3,88,1031822,293000000
106,Toy Story ,2010,103,"Animation, Adventure, Comedy            ",8.3,92,827953,415000000
107,Inglourious Basterds,2009,153,"Adventure, Drama, War            ",8.3,69,1424270,120540000
108,Eternal Sunshine of the Spotless Mind,2004,108,"Drama, Romance, Sci-Fi            ",8.3,89,995813,34400000
109,Le fabuleux destin d'Amélie Poulain,2001,122,"Comedy, Romance            ",8.3,69,751395,33229999
110,Snatch,2000,104,"Comedy, Crime            ",8.3,55,848060,30330000
111,Requiem for a Dream,2000,102,Drama            ,8.3,68,833224,3640000
112,Good Will Hunting,1997,126,"Drama, Romance            ",8.3,70,954254,138430000
113,Toy Story,1995,81,"Animation, Adventure, Comedy            ",8.3,95,982255,191800000
114,Heat,1995,170,"Action, Crime, Drama            ",8.3,76,647818,67440000
115,Reservoir Dogs,1992,99,"Crime, Drama, Thriller            ",8.3,79,1005901,2830000
116,Full Metal Jacket,1987,116,"Drama, War            ",8.3,76,735434,46360000
117,Once Upon a Time in America,1984,229,"Crime, Drama            ",8.3,75,349214,5320000
118,Scarface,1983,170,"Crime, Drama            ",8.3,65,828267,45600000
119,Star Wars: Episode VI - Return of the Jedi,1983,131,"Action, Adventure, Fantasy            ",8.3,58,1041639,309130000
120,The Sting,1973,129,"Comedy, Crime, Drama            ",8.3,83,260664,159600000
121,A Clockwork Orange,1971,136,"Crime, Sci-Fi            ",8.3,77,821384,6210000
122, A Space Odyssey,1968,149,"Adventure, Sci-Fi            ",8.3,84,661855,56950000
124,Lawrence of Arabia,1962,218,"Adventure, Biography, Drama            ",8.3,100,291955,44820000
126,The Apartment,1960,125,"Comedy, Drama, Romance            ",8.3,94,180662,18600000
127,North by Northwest,1959,136,"Action, Adventure, Mystery            ",8.3,98,325948,13280000
128,Vertigo,1958,128,"Mystery, Romance, Thriller            ",8.3,100,399511,3200000
130,Singin' in the Rain,1952,103,"Comedy, Musical, Romance            ",8.3,99,240848,8820000
131,Ikiru,1952,143,Drama            ,8.3,91,78083,60000
133,Double Indemnity,1944,107,"Crime, Drama, Film-Noir            ",8.3,95,156647,5720000
134,Citizen Kane,1941,119,"Drama, Mystery            ",8.3,100,439439,1590000
136,Metropolis,1927,153,"Drama, Sci-Fi            ",8.3,98,173564,1240000
138,,2019,119,"Action, Drama, War            ",8.2,78,572167,159230000
143,Green Book,2018,130,"Biography, Comedy, Drama            ",8.2,69,479557,85080000
148,Inside OutI) ,2015,95,"Animation, Adventure, Comedy            ",8.2,94,703162,356460000
152,El secreto de sus ojos,2009,129,"Drama, Mystery, Romance            ",8.2,80,208810,6390000
153,Warrior,2011,140,"Action, Drama, Sport            ",8.2,71,469519,13660000
154,Shutter Island,2010,138,"Mystery, Thriller            ",8.2,63,1287959,128009999
155,Kimetsu no Yaiba: Mugen Ressha-Hen,2020,117,"Animation, Action, Adventure            ",8.2,72,55759,47700000
158,The Wolf of Wall Street,2013,180,"Biography, Comedy, Crime            ",8.2,75,1377999,116900000
159,No Country for Old Men,2007,122,"Crime, Drama, Thriller            ",8.2,92,959007,74280000
161,There Will Be Blood,2007,158,Drama            ,8.2,93,580425,40220000
162,Pan's Labyrinth,2006,118,"Drama, Fantasy, War            ",8.2,98,663750,37630000
163,V for Vendetta,2005,132,"Action, Drama, Sci-Fi            ",8.2,62,1111743,70510000
164,Batman Begins,2005,140,"Action, Crime, Drama            ",8.2,70,1451618,206850000
166,Der Untergang,2004,156,"Biography, Drama, History            ",8.2,82,353995,5510000
167,Hauru no ugoku shiro,2004,119,"Animation, Adventure, Family            ",8.2,80,389448,4710000
168,A Beautiful Mind,2001,135,"Biography, Drama            ",8.2,72,923900,170740000
169,Kill Bill: Vol. ,2003,111,"Action, Crime, Drama            ",8.2,69,1101831,70100000
170,Finding Nemo,2003,100,"Animation, Adventure, Comedy            ",8.2,90,1033076,380840000
171,The Sixth Sense,1999,107,"Drama, Mystery, Thriller            ",8.2,64,982384,293510000
172,"Lock, Stock and Two Smoking Barrels",1998,107,"Action, Comedy, Crime            ",8.2,66,578050,3900000
173,The Truman Show,1998,103,"Comedy, Drama            ",8.2,90,1061271,125620000
174,L.A. Confidential,1997,138,"Crime, Drama, Mystery            ",8.2,90,579117,64620000
175,Bacheha-Ye aseman,1997,89,"Drama, Family, Sport            ",8.2,77,74629,930000
176,Casino,1995,178,"Crime, Drama            ",8.2,73,514617,42440000
177,Jurassic Park,1993,127,"Action, Adventure, Sci-Fi            ",8.2,68,976931,402450000
178,Unforgiven,1992,130,"Drama, Western            ",8.2,85,409545,101160000
179,Indiana Jones and the Last Crusade,1989,127,"Action, Adventure            ",8.2,65,748087,197170000
180,Die Hard,1988,132,"Action, Thriller            ",8.2,72,868025,83010000
181,Ran,1985,162,"Action, Drama, War            ",8.2,96,125122,4139999
182,The Thing,1982,109,"Horror, Mystery, Sci-Fi            ",8.2,57,418607,13780000
183,Raging Bull,1980,129,"Biography, Drama, Sport            ",8.2,89,351558,23380000
185,Taxi Driver,1976,114,"Crime, Drama            ",8.2,94,817888,28260000
186,Monty Python and the Holy Grail,1975,91,"Adventure, Comedy, Fantasy            ",8.2,91,538001,1230000
188,Chinatown,1974,130,"Drama, Mystery, Thriller            ",8.2,92,324624,8490000
189,Z,1969,127,"Crime, Drama, Thriller            ",8.2,86,28826,80000
190,Per qualche dollaro in più,1965,132,Western            ,8.2,74,255319,15000000
191,The Great Escape,1963,172,"Adventure, Drama, History            ",8.2,86,243599,12100000
193,Some Like It Hot,1959,121,"Comedy, Music, Romance            ",8.2,98,265756,25000000
194,The Bridge on the River Kwai,1957,161,"Adventure, Drama, War            ",8.2,87,219865,44910000
195,Dial M for Murder,1954,105,"Crime, Thriller            ",8.2,75,175018,10000
198,Umberto D.,1952,89,Drama            ,8.2,92,25907,70000
199,Rashômon,1950,88,"Crime, Drama, Mystery            ",8.2,98,167786,100000
200,All About Eve,1950,138,Drama            ,8.2,98,131070,10000
201,The Treasure of the Sierra Madre,1948,126,"Adventure, Drama, Western            ",8.2,98,124686,5010000
203,Gone with the Wind,1939,238,"Drama, Romance, War            ",8.2,97,314021,198680000
208,Portrait de la jeune fille en feu,2019,122,"Drama, Romance            ",8.1,95,89491,3760000
212,"Three Billboards Outside Ebbing, Missouri",2017,115,"Comedy, Crime, Drama            ",8.1,88,499453,54510000
