,Model,Buy_Year,Location,Engine_CC,No_of_Owners,KMs_Run,price,Date_of_posting,Brand
340,Enfield Thunderbird X 350,2019," Indore, Madhya Pradesh",346,Single Owner,17000,160000,2022-08-28,Royal Enfield
341,XPulse 200 BS6,2020," Mumbai, Maharashtra",200,Single Owner,4600,100000,2022-01-09,Hero
342,Avenger Street 160 BS6,2020," Gurgaon, Haryana",180,Single Owner,7677,85000,2022-08-29,Bajaj
343,CBR 250R,2013," Bhopal, Madhya Pradesh",249,Single Owner,28000,80000,2022-02-09,Honda
344,Duke 390,2017," Allahabad, Uttar Pradesh",373,Single Owner,6170,200000,2022-08-28,KTM
345,Apache RTR 200 4V,2017," Ghaziabad, Uttar Pradesh",197,Single Owner,53000,65000,2022-08-28,TVS
346,Enfield Classic 350,2015," Dibrugarh, Assam",346,Single Owner,17000,85000,2022-08-28,Royal Enfield
347,Enfield Bullet Electra,2015," Mumbai, Maharashtra",350,Single Owner,13400,75000,2022-08-28,Royal Enfield
348,CB Hornet 160R ABS,2016," Bangalore, Karnataka",162,Single Owner,23000,65000,2022-08-28,Honda
349,Avenger Cruise 220 BS6,2020," Thane, Maharashtra",220,Single Owner,16500,130000,2022-08-31,Bajaj
350,YZF R15 V2,2014," Hyderabad, Telangana",149,Single Owner,16000,65000,2022-08-29,Yamaha
351,Dominar 400,2017," Kolkata, West Bengal",400,Single Owner,22000,120000,2022-08-28,Bajaj
352,FZ FI V2,2018," Navi Mumbai, Maharashtra",149,Single Owner,18000,60000,2022-05-09,Yamaha
353,Apache RTR 160,2012," Noida, Uttar Pradesh",160,Single Owner,25000,50000,2022-05-09,TVS
354,Pulsar 220F,2017," Noida, Uttar Pradesh",220,Single Owner,15000,70000,2022-05-09,Bajaj
355,G 310 GS,2021," Mumbai, Maharashtra",313,Single Owner,2481,320000,2022-05-09,BMW
356,Pulsar 200 NS,2014," New Delhi, Delhi",199,Single Owner,46000,45000,2022-05-09,Bajaj
357,Renegade Commando,2017," Hyderabad, Telangana",280,Single Owner,16000,125000,2022-05-09,UM
358,Jawa,2019," Mumbai, Maharashtra",293,Single Owner,26000,120000,2022-05-09,Jawa
359,YZF R15 V3,2018," Alwar, Rajasthan",155,Single Owner,16000,95000,2022-05-09,Yamaha
360,Enfield Classic 350,2020," Mumbai, Maharashtra",346,Single Owner,7000,180000,2022-05-09,Royal Enfield
361,Enfield Classic 350,2019," Mumbai, Maharashtra",346,Single Owner,360000,165000,2022-05-09,Royal Enfield
362,Dominar 400 ABS BS6,2018," Bangalore, Karnataka",400,Single Owner,25000,145000,2022-08-26,Bajaj
363,MT-15 BS6,2020," Hyderabad, Telangana",155,Single Owner,13000,130000,2022-08-26,Yamaha
364,Intruder 150,2017," Chennai, Tamil Nadu",155,Single Owner,19000,65000,2022-08-26,Suzuki
365,Perak BS6,2020," Bangalore, Karnataka",350,Single Owner,1750,280000,2022-08-26,Jawa
366,Hornet 2.0 Repsol Edition,2021," Dhanbad, Jharkhand",185,Single Owner,10000,100000,2022-08-30,Honda
368,Enfield Continental GT 650 Twin,2021," Chennai, Tamil Nadu",650,Single Owner,6224,280000,2022-06-09,Royal Enfield
369,Davidson Iron 883,2018," Bellary, Karnataka",883,Single Owner,5500,850000,2022-08-30,Harley Davidson
370,Enfield Bullet Standard 500,2014," Mumbai, Maharashtra",499,Two,28000,110000,2022-08-27,Royal Enfield
371,Enfield Classic Stealth Black,2021," Gurgaon, Haryana",350,Single Owner,2888,190000,2022-08-26,Royal Enfield
372,Apache,2017," Bangalore, Karnataka",200,Single Owner,13000,80000,2022-08-26,TVS
373,Enfield Continental GT 650 Twin,2021," Chennai, Tamil Nadu",650,Single Owner,4200,290000,2022-08-09,Royal Enfield
374,Gixxer SF,2019," Madurai, Tamil Nadu",155,Single Owner,5700,115000,2022-08-26,Suzuki
375,Enfield Thunderbird 350,2016," Meerut, Uttar Pradesh",346,Single Owner,6000,120000,2022-08-26,Royal Enfield
376,RC 200,2018," Mumbai, Maharashtra",200,Single Owner,11000,130000,2022-08-25,KTM
377,Enfield Classic 350,2014," Surat, Gujarat",346,Single Owner,12000,110000,2022-08-28,Royal Enfield
378,Enfield Classic Desert Storm,2016, Tamil Nadu,499,Single Owner,13500,130000,2022-08-25,Royal Enfield
379,Avenger Cruise 220,2016," New Delhi, Delhi",220,Single Owner,10700,67000,2022-08-25,Bajaj
381,Davidson Iron 883,2011," Bangalore, Karnataka",883,Single Owner,160000,400000,2022-08-25,Harley Davidson
