,Model,Buy_Year,Location,Engine_CC,No_of_Owners,KMs_Run,price,Date_of_posting,Brand
534,Duke 200,2016," Pune, Maharashtra",200,Single Owner,22000,110000,2022-02-09,KTM
535,XBlade BS6,2021," Chhindwara, Madhya Pradesh",160,Single Owner,2000,105000,2022-02-09,Honda
536,Pulsar 150 DTSi,2019," Khargone, Madhya Pradesh",150,Single Owner,54000,75000,2022-02-09,Bajaj
537,Enfield Thunderbird 350,2016," New Delhi, Delhi",346,Single Owner,10000,110000,2022-02-09,Royal Enfield
538,XPulse 200T,2022," Hyderabad, Telangana",200,Single Owner,5000,125000,2022-02-09,Hero
539,Enfield Bullet Standard 500,2017," New Delhi, Delhi",499,Single Owner,37463,125000,2022-02-09,Royal Enfield
540,FZS 25,2019," Chennai, Tamil Nadu",250,Single Owner,30500,97000,2022-02-09,Yamaha
541,Duke 200,2017," Pratapgarh, Uttar Pradesh",200,Single Owner,40000,100000,2022-02-09,KTM
542,Enfield Classic Gunmetal Grey,2019," New Delhi, Delhi",346,Single Owner,20000,170000,2022-08-19,Royal Enfield
543,Avenger Cruise 220 BS6,2017," Hyderabad, Telangana",180,Single Owner,23000,75000,2022-08-21,Bajaj
544,G 310 GS,2018," Gurgaon, Haryana",313,Single Owner,11500,180000,2022-08-21,BMW
545,Enfield Classic 350,2015, Karnataka,346,Single Owner,10000,110000,2022-08-23,Royal Enfield
546,forty two BS6,2021," Dhemaji, Assam",293,Single Owner,5400,150000,2022-08-19,Jawa
547,Enfield Continental GT 535,2015," Faridabad, Haryana",535,Two,25000,100000,2022-08-18,Royal Enfield
548,Gixxer SF Moto GP,2015," Erode, Tamil Nadu",150,Single Owner,28500,49500,2022-08-18,Suzuki
549,YZF R15 S V3.0,2021," Bangalore, Karnataka",155,Single Owner,3087,185000,2022-08-18,Yamaha
550,Pulsar 200 NS,2018," Nashik, Maharashtra",199,Single Owner,31000,95000,2022-08-18,Bajaj
551,Davidson Dyna Fat Bob FXDF,2017," Gurgaon, Haryana",1585,Single Owner,18000,800000,2022-08-18,Harley Davidson
552,Enfield Classic Stealth Black,2018," New Delhi, Delhi",499,Single Owner,2400,260000,2022-08-17,Royal Enfield
553,Dominar 400 ABS BS6,2020," Dehradun, Utarakhand",373,Single Owner,7600,170000,2022-10-09,Bajaj
554,FZ25,2019," Vellore, Tamil Nadu",249,Single Owner,14345,127000,2022-08-09,Yamaha
555,Enfield Classic,2019," Thiruvalla, Pathanamthitta, Kerala",350,Single Owner,12000,155000,2022-08-19,Royal Enfield
556,Pulsar 150,2016," Hyderabad, Telangana",150,Single Owner,100610,40000,2022-08-17,Bajaj
557,YZF R15 V3,2021," Salem, Tamil Nadu",155,Single Owner,6000,152000,2022-08-16,Yamaha
558,Enfield Thunderbird X 350,2019," Chennai, Tamil Nadu",346,Single Owner,7200,150000,2022-08-16,Royal Enfield
559,Enfield Bullet Standard 500,2015," Gurgaon, Haryana",499,Single Owner,25000,125000,2022-08-16,Royal Enfield
560,Enfield Thunderbird 350,2013," Lucknow, Uttar Pradesh",346,Single Owner,42400,85000,2022-08-17,Royal Enfield
561,Apache RR 310,2021," Madurai, Tamil Nadu",312,Single Owner,13000,250000,2022-08-16,TVS
562,MT-15 BS6,2019," Ujjain, Madhya Pradesh",155,Single Owner,7800,120000,2022-02-09,Yamaha
563,Enfield Classic Gunmetal Grey,2019," Saharanpur, Uttar Pradesh",346,Single Owner,32000,168000,2022-02-09,Royal Enfield
564,Karizma ZMR,2011," Mumbai, Maharashtra",223,Single Owner,25000,47500,2022-02-09,Hero
565,Vitpilen 250 2020,2020," Cuddalore, Tamil Nadu",250,Single Owner,5600,170000,2022-02-09,Husqvarna
566,Enfield Classic 350,2014," Pune, Maharashtra",346,Single Owner,36855,90000,2022-02-09,Royal Enfield
567,Enfield Thunderbird 350,2016," Chennai, Tamil Nadu",346,Single Owner,12000,100000,2022-02-09,Royal Enfield
568,Pulsar 200 NS ABS,2017," Rewari, Haryana",199,Single Owner,17789,70000,2022-02-09,Bajaj
570,Enfield Himalayan Sleet,2018, Maharashtra,411,Two,36400,145000,2022-01-09,Royal Enfield
571,FZ-S FI V2,2017," Bangalore, Karnataka",149,Single Owner,12000,71000,2022-01-09,Yamaha
572,XPulse 200T BS6,2021," Thane, Maharashtra",200,Single Owner,6000,150000,2022-08-16,Hero
573,Enfield Thunderbird 500,2016," Vaikom, Kottayam, Kerala",500,Single Owner,19447,135000,2022-08-29,Royal Enfield
574,Enfield Bullet Standard 350,1986," Bangalore, Karnataka",346,Two,15000,100000,2022-08-16,Royal Enfield
575,Enfield Thunderbird X 350,2018," Mumbai, Maharashtra",346,Single Owner,13600,140000,2022-08-16,Royal Enfield
576,YZF R15 S,2017," Hyderabad, Telangana",149,Single Owner,2063,90000,2022-08-15,Yamaha
577,Enfield Classic 350,2014," Chennai, Tamil Nadu",346,Single Owner,19529,85000,2022-08-15,Royal Enfield
578,SR 150 Race,2018," Pondicherry, Pondicherry",155,Single Owner,6800,54000,2022-08-15,Aprilia
579,FZ-S FI V2,2015," Nalbari, Assam",149,Single Owner,80000,55000,2022-08-26,Yamaha
580,Avenger Cruise 220,2021," Haridwar, Utarakhand",220,Single Owner,314,125000,2022-08-15,Bajaj
581,CB Hornet 160R,2017," Chennai, Tamil Nadu",162,Single Owner,14000,65000,2022-08-15,Honda
582,Apache RTR 180,2009," Chennai, Tamil Nadu",180,Single Owner,73000,40000,2022-08-15,TVS
583,Enfield Himalayan Sleet,2019," Kodakara, Thrissur, Kerala",411,Single Owner,5421,200000,2022-08-16,Royal Enfield
584,FZ-S,2017," Pali, Rajasthan",151,Single Owner,25000,65000,2022-08-15,Yamaha
585,FZ-S FI V3 BS6,2020," Hyderabad, Telangana",150,Single Owner,18000,94000,2022-08-17,Yamaha
586,Duke 390,2017," Thane, Maharashtra",373,Two,22000,190000,2022-08-15,KTM
587,Dominar 400,2018," Gurgaon, Haryana",400,Single Owner,43000,110000,2022-08-16,Bajaj
588,FZ-S FI V2,2014," Bangalore, Karnataka",149,Single Owner,27000,49000,2022-04-09,Yamaha
589,Pulsar 150,2014," Patna, Bihar",150,Single Owner,46000,52000,2022-08-18,Bajaj
590,Enfield Thunderbird,2014," Mumbai, Maharashtra",346,Single Owner,25000,65000,2022-08-15,Royal Enfield
591,FZ-S FI V2,2017," Thane, Maharashtra",149,Single Owner,7500,58000,2022-08-15,Yamaha
592,SR 160 Race ABS,2019," Bangalore, Karnataka",150,Single Owner,10000,85000,2022-01-09,Aprilia
593,Apache RTR 160 4V,2019," Ahmedabad, Gujarat",160,Single Owner,18000,70000,2022-01-09,TVS
594,forty two,2020," Panipat, Haryana",293,Single Owner,18000,140000,2022-01-09,Jawa
595,CB300R,2019," Bangalore, Karnataka",300,Single Owner,12600,270000,2022-01-09,Honda
596,Avenger Cruise 220,2017," Jaipur, Rajasthan",220,Single Owner,68000,55000,2022-01-09,Bajaj
597,Apache RTR 200 4V,2020," Thane, Maharashtra",197,Single Owner,38500,80000,2022-01-09,TVS
598,Xtreme 200R,2019," Kolkata, West Bengal",200,Single Owner,30000,50000,2022-01-09,Hero
599,XBlade BS6,2018," Madurai, Tamil Nadu",160,Single Owner,65000,66000,2022-01-09,Honda
600,Enfield Thunderbird X 350,2018," Mysore, Karnataka",346,Single Owner,16000,160000,2022-01-09,Royal Enfield
